event_name,start_date,end_date,location,category
Lễ hội Tuyệt vời Đà Nẵng 2020,2020-07-30,2020-08-05,Đà Nẵng,Festival
Đêm khai mạc Lễ hội Tuyệt vời Đà Nẵng 2020,2020-07-31,2020-07-31,Công viên Biển Đông,Opening Ceremony
Lễ hội âm nhạc EDM 'Đánh thức mùa hè',2020-08-01,2020-08-01,Công viên Biển Đông,Music
Cụm âm nhạc đường phố,2020-07-31,2020-08-03,Nhiều địa điểm tại Đà Nẵng,Music
Nối vòng tay lớn - Cùng du lịch Việt Nam - Tôi yêu biển Đà Nẵng,2020-08-02,2020-08-02,Bãi biển Mỹ An - Công viên Biển Đông,Sport
Không gian kích cầu du lịch,2020-07-30,2020-08-05,Công viên Biển Đông,Exhibition
Không gian ẩm thực 'Chợ quê',2020-07-30,2020-08-05,Công viên Biển Đông,Food
Không gian nghệ thuật 'Hồi sinh trên cát',2020-07-30,2020-08-05,Công viên Biển Đông,Art
Lễ hội nghệ thuật diều,2020-07-31,2020-08-02,Bãi biển Phước Mỹ,Festival
Flashmob 'Bay xanh',2020-07-31,2020-07-31,Công viên Biển Đông,Performance
Team Building,2020-07-30,2020-08-05,Bãi biển Phước Mỹ,Outdoor
Trình diễn thể thao biển,2020-07-30,2020-08-05,Công viên Biển Đông,Sport
Ngày hội miền biển,2020-08-02,2020-08-02,Bãi biển Xuân Hà,Festival
Vì một bãi biển sạch đẹp,2020-08-01,2020-08-01,Bãi biển Xuân Thiều,Environment
Show Khủng Long Kỳ Thú,2020-07-01,2020-09-30,Công viên Suối khoáng nóng Núi Thần Tài,Entertainment
Miễn phí vé tham quan Công viên Châu Á,2020-07-02,2020-07-31,Công viên Châu Á,Promotion
Lễ hội Bia và Ẩm thực,2020-07-15,2020-09-30,Sun World Ba Na Hills,Food
Lễ hội Halloween,2020-09-01,2020-09-30,Sun World Ba Na Hills,Festival
"Chuỗi sự kiện Phiên chợ ngày Tết, Triển lãm Tiền Việt Nam qua các thời kỳ và Chợ phiên đồ xưa Đà Nẵng",2021-01-30,2021-01-31,Bảo tàng Đà Nẵng,Culture
Bắn pháo hoa dịp Tết Âm lịch 2021,2021-02-11,2021-02-11,Cầu Nguyễn Văn Trỗi; Khu phức hợp thương mại cao tầng Phương Trang – Khu F; Trung tâm hành chính huyện Hòa Vang,Festival
Lễ hội Tết Việt Tân Sửu 2021,2021-02-05,2021-02-07,Trung tâm hành chính huyện Hòa Vang,Festival
Hội Báo Xuân Tân Sửu 2021,2021-02-04,2021-02-04,Thư viện Khoa học Tổng hợp TP Đà Nẵng,Culture
Trang trí cảnh quan hai bên bờ sông Hàn và các tuyến phố Đà Nẵng,2021-02-10,2021-02-21,Vỉa hè đường Bạch Đằng,Culture
Chương trình nghệ thuật kỷ niệm 46 năm Ngày Giải phóng thành phố Đà Nẵng,2021-03-27,2021-03-27,"Vỉa hè vòng bán nguyệt, đường Bạch Đằng",Culture
Các hoạt động thể thao trên sông Hàn,2021-03-29,2021-03-29,Sông Hàn,Sport
Cuộc thi trình diễn bắn pháo hoa quốc tế 2021,2021-04-30,2021-09-02,"Công viên Châu Á, Sun World Da Nang Wonders",Festival
Cuộc thi Hoa khôi Du lịch Đà Nẵng 2021,2020-10,2021-04,Cung Thể thao Tiên Sơn,Tourism
