year;month;period_type;accommodation_guests;accommodation_intl_guests;accommodation_domestic_guests;tourism_revenue_billion_vnd
2019;;annual;8692421;3522928;5169493;30973
2020;;annual;2670000;703000;1967000;8732
2021;;annual;1190000;105000;1085000;2505
2022;;annual;3690000;483000;3200000;21300
2023;;annual;7390000;1980000;5410000;28000
2024;;annual;10750000;4100000;6650000;34000
2025;;annual;17300000;7600000;9700000;60000
2020;1;monthly;334798;88151;246647;
2020;2;monthly;276573;72821;203752;
2020;3;monthly;247460;65155;182305;
2020;4;monthly;305685;80486;225199;
2020;5;monthly;291129;76653;214476;
2020;6;monthly;349355;91984;257371;
2020;7;monthly;47500;12507;34993;
2020;8;monthly;47500;12507;34993;
2020;9;monthly;189538;49905;139633;
2020;10;monthly;177692;46786;130906;
2020;11;monthly;165846;43667;122179;
2020;12;monthly;236923;62381;174542;
2021;1;monthly;174331;15382;158949;
2021;2;monthly;144013;12707;131306;
2021;3;monthly;128854;11369;117485;
2021;4;monthly;159172;14045;145127;
2021;5;monthly;151592;13376;138216;
2021;6;monthly;15159;1338;13821;
2021;7;monthly;15159;1338;13821;
2021;8;monthly;15159;1338;13821;
2021;9;monthly;15159;1338;13821;
2021;10;monthly;113694;10032;103662;
2021;11;monthly;106115;9363;96752;
2021;12;monthly;151592;13376;138216;
2022;1;monthly;198410;25971;172439;
2022;2;monthly;163904;21454;142450;
2022;3;monthly;241543;31617;209926;
2022;4;monthly;362314;47425;314889;
2022;5;monthly;308400;40368;268032;
2022;6;monthly;414073;54200;359873;
2022;7;monthly;448580;58717;389863;
2022;8;monthly;431327;56458;374869;
2022;9;monthly;276049;36133;239916;
2022;10;monthly;258796;33875;224921;
2022;11;monthly;241543;31617;209926;
2022;12;monthly;345061;45167;299894;
2023;1;monthly;657448;176150;481298;
2023;2;monthly;543109;145515;397594;
2023;3;monthly;485940;130198;355742;
2023;4;monthly;600278;160832;439446;
2023;5;monthly;571694;153174;418520;
2023;6;monthly;686032;183808;502224;
2023;7;monthly;782000;209521;572479;
2023;8;monthly;898476;240728;657748;
2023;9;monthly;575024;154066;420958;
2023;10;monthly;486735;130411;356324;
2023;11;monthly;454286;121717;332569;
2023;12;monthly;648980;173881;475099;
2024;1;monthly;740678;282491;458187;
2024;2;monthly;611864;233362;378502;
2024;3;monthly;547458;208798;338660;
2024;4;monthly;1077045;410780;666265;
2024;5;monthly;1025758;391219;634539;
2024;6;monthly;1230909;469463;761446;
2024;7;monthly;1333485;508585;824900;
2024;8;monthly;1282197;489024;793173;
2024;9;monthly;820606;312975;507631;
2024;10;monthly;636735;242848;393887;
2024;11;monthly;594286;226658;367628;
2024;12;monthly;848980;323797;525183;
2025;1;monthly;876190;384916;491274;
2025;2;monthly;723810;317974;405836;4775
2025;3;monthly;1452556;638117;814439;
2025;4;monthly;1794333;788262;1006071;
2025;5;monthly;1708889;750726;958163;
2025;6;monthly;2050667;900871;1149796;
2025;7;monthly;2221556;975944;1245612;
2025;8;monthly;1972000;866312;1105688;
2025;9;monthly;1107692;486616;621076;
2025;10;monthly;1038462;456203;582259;
2025;11;monthly;969231;425789;543442;
2025;12;monthly;1384615;608270;776345;
2026;1;monthly;967354;424965;542389;
2026;2;monthly;799120;351058;448062;
2026;3;monthly;1603689;704511;899178;
2026;4;monthly;1981027;870278;1110749;
2026;5;monthly;1886692;828836;1057856;
2026;6;monthly;2264031;994603;1269428;
2023;;cumulative_9thang;5800000;1600000;4200000;
2023;;cumulative_7thang;4326500;1144000;3182800;
2024;;cumulative_Q1;1900000;636000;1249000;
2024;;cumulative_9thang;8670000;3170000;5490000;
2025;;cumulative_2thang;1600000;835700;;
2025;;cumulative_8thang;12800000;5000000;7800000;
